MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
CD3,BC1,,,
CD7,BC2,,,
HLA-DR,BC3,,,
CD28,BC4,,,
CD146,BC5,,,
IsoRbt,BC6,yes,Rabbit_Isotype,
CD45,BC7,,Leukocyte_Common_Antigen,LCA
Ki67,BC9,,,
PD-1,BC10,,,
COL1A1,BC12,,Colagen,
CD47,BC13,,,
CTNNB1,BC15,,,
TNF-a,BC16,,TNF_alpha,
EZR,BC17,,,
KRT5,BC18,,,
CD19,BC19,,,
CD81,BC21,,,
CD53,BC23,,,
CALR,BC24,,Calreticulin,CRP55:CaBP3:ERp60
ILF3,BC25,,,
ICAM3,BC26,,,
CD8,BC27,,,
CD20,BC30,,,
H3,BC31,,Histone_H3,
LMNB1,BC32,,Lamin_B1,
NCL,BC33,,Nucleolin,
FBL,BC34,,Fibrillarin,
CD37,BC35,,,
CD56,BC36,,,
JAK2,BC37,,Janus_Kinase_2,
VIM,BC38,,Vimentin,
CD44,BC39,,,
STAT3,BC40,,Signal_transducer_and_activator_of_transcription_3,
